Front	Back	Tags
עוֹלָם	<div class="translit">olam</div><div class="english">world / eternity</div><div class="notes">Can mean world, universe, age, or eternity</div>	siddur hebrew prayer_vocab type_noun
הָעוֹלָם	<div class="translit">ha-olam</div><div class="english">the world / the universe</div><div class="notes">Common in blessing formula</div>	siddur hebrew prayer_vocab type_liturgical_form
לְעוֹלָם	<div class="translit">l'olam</div><div class="english">forever</div><div class="notes">Literally "to eternity"</div>	siddur hebrew prayer_vocab type_liturgical_form
וָעֶד	<div class="translit">va'ed</div><div class="english">and ever / eternity</div><div class="notes">Often appears in "לְעוֹלָם וָעֶד"</div>	siddur hebrew prayer_vocab type_liturgical_form
יוֹם	<div class="translit">yom</div><div class="english">day</div>	siddur hebrew prayer_vocab type_noun
זְמַן	<div class="translit">z'man</div><div class="english">time</div>	siddur hebrew prayer_vocab type_noun
דּוֹר	<div class="translit">dor</div><div class="english">generation</div>	siddur hebrew prayer_vocab type_noun
שַׁבָּת	<div class="translit">Shabbat</div><div class="english">Sabbath</div>	siddur hebrew prayer_vocab type_noun
חַיִּים	<div class="translit">chayim</div><div class="english">life</div>	siddur hebrew prayer_vocab type_noun
אוֹר	<div class="translit">or</div><div class="english">light</div>	siddur hebrew prayer_vocab type_noun
יִשְׂרָאֵל	<div class="translit">Yisrael</div><div class="english">Israel</div>	siddur hebrew prayer_vocab type_noun
עַם	<div class="translit">am</div><div class="english">people / nation</div>	siddur hebrew prayer_vocab type_noun
אָדָם	<div class="translit">adam</div><div class="english">human / person</div>	siddur hebrew prayer_vocab type_noun
אָב	<div class="translit">av</div><div class="english">father</div>	siddur hebrew prayer_vocab type_noun
אָבוֹת	<div class="translit">avot</div><div class="english">fathers / ancestors</div>	siddur hebrew prayer_vocab type_noun
אֲבוֹתֵינוּ	<div class="translit">avoteinu</div><div class="english">our fathers / our ancestors</div>	siddur hebrew prayer_vocab type_liturgical_form
אֵם	<div class="translit">em</div><div class="english">mother</div>	siddur hebrew prayer_vocab type_noun
אִמָּהוֹת	<div class="translit">imahot</div><div class="english">mothers / matriarchs</div>	siddur hebrew prayer_vocab type_noun
בֵּן	<div class="translit">ben</div><div class="english">son</div>	siddur hebrew prayer_vocab type_noun
בְּנֵי	<div class="translit">b'nei</div><div class="english">children of / people of</div>	siddur hebrew prayer_vocab type_liturgical_form
בַּיִת	<div class="translit">bayit</div><div class="english">house</div>	siddur hebrew prayer_vocab type_noun
בֵּית	<div class="translit">beit</div><div class="english">house of</div><div class="notes">Construct form</div>	siddur hebrew prayer_vocab type_noun
אֶרֶץ	<div class="translit">eretz</div><div class="english">land / earth</div>	siddur hebrew prayer_vocab type_noun
שָׁמַיִם	<div class="translit">shamayim</div><div class="english">heaven / sky</div>	siddur hebrew prayer_vocab type_noun
יְרוּשָׁלַיִם	<div class="translit">Yerushalayim</div><div class="english">Jerusalem</div>	siddur hebrew prayer_vocab type_noun
צִיּוֹן	<div class="translit">Tziyon</div><div class="english">Zion</div>	siddur hebrew prayer_vocab type_noun
טוֹב	<div class="translit">tov</div><div class="english">good</div>	siddur hebrew prayer_vocab type_adjective
גָּדוֹל	<div class="translit">gadol</div><div class="english">great / big</div>	siddur hebrew prayer_vocab type_adjective
נוֹרָא	<div class="translit">nora</div><div class="english">awesome / awe-inspiring</div>	siddur hebrew prayer_vocab type_adjective
אֶחָד	<div class="translit">echad</div><div class="english">one</div>	siddur hebrew prayer_vocab type_adjective
אֱמֶת	<div class="translit">emet</div><div class="english">truth</div>	siddur hebrew prayer_vocab type_noun
חֶסֶד	<div class="translit">chesed</div><div class="english">kindness / covenant love</div>	siddur hebrew prayer_vocab type_noun
רַחֲמִים	<div class="translit">rachamim</div><div class="english">mercy / compassion</div>	siddur hebrew prayer_vocab type_noun
שָׁלוֹם	<div class="translit">shalom</div><div class="english">peace</div>	siddur hebrew prayer_vocab type_noun
אַהֲבָה	<div class="translit">ahavah</div><div class="english">love</div>	siddur hebrew prayer_vocab type_noun
תּוֹרָה	<div class="translit">Torah</div><div class="english">Torah / teaching</div>	siddur hebrew prayer_vocab type_noun
מִצְוָה	<div class="translit">mitzvah</div><div class="english">commandment</div>	siddur hebrew prayer_vocab type_noun
מִצְוֹת	<div class="translit">mitzvot</div><div class="english">commandments</div>	siddur hebrew prayer_vocab type_noun
בְּרִית	<div class="translit">brit</div><div class="english">covenant</div>	siddur hebrew prayer_vocab type_noun
לֵב	<div class="translit">lev</div><div class="english">heart</div>	siddur hebrew prayer_vocab type_noun
נֶפֶשׁ	<div class="translit">nefesh</div><div class="english">soul / life / self</div>	siddur hebrew prayer_vocab type_noun
רוּחַ	<div class="translit">ruach</div><div class="english">spirit / wind</div>	siddur hebrew prayer_vocab type_noun
נְשָׁמָה	<div class="translit">n'shamah</div><div class="english">soul / breath</div>	siddur hebrew prayer_vocab type_noun
פָּנִים	<div class="translit">panim</div><div class="english">face / presence</div>	siddur hebrew prayer_vocab type_noun
כָּבוֹד	<div class="translit">kavod</div><div class="english">honour / glory</div>	siddur hebrew prayer_vocab type_noun
תְּפִלָּה	<div class="translit">t'fillah</div><div class="english">prayer</div>	siddur hebrew prayer_vocab type_noun
בְּרָכָה	<div class="translit">b'rakhah</div><div class="english">blessing</div>	siddur hebrew prayer_vocab type_noun
שְׁמַע	<div class="translit">sh'ma</div><div class="english">hear / listen</div>	siddur hebrew prayer_vocab type_verb
אָמַר	<div class="translit">amar</div><div class="english">said</div>	siddur hebrew prayer_vocab type_verb
עָשָׂה	<div class="translit">asah</div><div class="english">did / made</div>	siddur hebrew prayer_vocab type_verb
נָתַן	<div class="translit">natan</div><div class="english">gave</div>	siddur hebrew prayer_vocab type_verb
הָיָה	<div class="translit">hayah</div><div class="english">was</div>	siddur hebrew prayer_vocab type_verb
מָלַךְ	<div class="translit">malakh</div><div class="english">ruled / reigned</div>	siddur hebrew prayer_vocab type_verb
אָהַב	<div class="translit">ahav</div><div class="english">loved</div>	siddur hebrew prayer_vocab type_verb
בָּרָא	<div class="translit">bara</div><div class="english">created</div>	siddur hebrew prayer_vocab type_verb
קִדֵּשׁ	<div class="translit">kiddesh</div><div class="english">sanctified</div>	siddur hebrew prayer_vocab type_verb
קִדְּשָׁנוּ	<div class="translit">kiddeshanu</div><div class="english">sanctified us</div>	siddur hebrew prayer_vocab type_liturgical_form
צִוָּנוּ	<div class="translit">tzivanu</div><div class="english">commanded us</div>	siddur hebrew prayer_vocab type_liturgical_form
מוֹדִים	<div class="translit">modim</div><div class="english">we thank / acknowledge</div>	siddur hebrew prayer_vocab type_liturgical_form
רְצֵה	<div class="translit">r'tzei</div><div class="english">be pleased / accept</div>	siddur hebrew prayer_vocab type_verb
סְלַח	<div class="translit">s'lach</div><div class="english">forgive</div>	siddur hebrew prayer_vocab type_verb
רְפָא	<div class="translit">r'fa</div><div class="english">heal</div>	siddur hebrew prayer_vocab type_verb
בָּרֵךְ	<div class="translit">barekh</div><div class="english">bless</div>	siddur hebrew prayer_vocab type_verb
מָגֵן	<div class="translit">magen</div><div class="english">shield</div>	siddur hebrew prayer_vocab type_noun
גּוֹאֵל	<div class="translit">go'el</div><div class="english">redeemer</div>	siddur hebrew prayer_vocab type_noun
מוֹשִׁיעַ	<div class="translit">moshia</div><div class="english">saviour / one who saves</div>	siddur hebrew prayer_vocab type_noun
שִׁיר	<div class="translit">shir</div><div class="english">song</div>	siddur hebrew prayer_vocab type_noun
